Song,Hot100 Rank,Hot100 Ranking Year
I Know What You Want (feat. Flipmode Squad),17,2003
Muskrat Love,89,1977
For Your Sweet Love,66,1964
Tonight,90,1984
Looks Like We Made It,37,1977
All My Life,7,1998
I Will Come To You,50,1998
I Just Want To Celebrate,66,1971
I Want Your Sex - Pts. 1 & 2 Remastered,24,1987
Timothy,87,1971
Good Lovin' - Single Version,11,1966
I'd Like to Teach the World to Sing (In Perfect Harmony) (Rerecorded),93,2010
Deja Vu,84,1980
You're Sixteen (You’re Beautiful And You’re Mine),31,1974
Hooked On A Feeling,20,1974
Me And My Broken Heart,70,2014
Suzie Q,97,1968
"The Ballad of Davy Crockett (From Walt Disney's ""Davy Crockett"")",22,1964
Kiddio - Remastered,63,2023
How Am I Supposed to Live Without You? (Live),61,2023
Tender Love,95,1986
"Baby, I'm Yours",38,1965
Losing My Religion,33,1991
Ebony And Ivory - 2022 Remaster,4,2022
I Got A Man,63,1993
Mony Mony - Downtown Mix / 24-Bit Digitally Remastered 2001,19,1987
Impossible,70,2010
Temptation,58,2005
Who Says,78,2011
Rainy Day Women #12 & 35,74,1966
I Can See Clearly Now,66,2002
Don’t Start Now,4,2023
She Ain't Worth It,24,1990
"Baby, You Make Me Crazy",34,2017
I Had Too Much to Dream (Last Night),93,1967
It's My Life,38,2004
House Of The Rising Sun,38,1964
I Love Your Smile,11,1992
Time (Clock Of The Heart),34,1989
Gettin' Jiggy Wit It,14,1998
Bang Bang - Imanos & Gramercy Remix,80,2015
I Still Love You,63,1998
Denise,27,2010
Don't Stop Believin',73,1982
Better Off Alone,88,2000
Come Saturday Morning,90,1970
If,61,1971
Twist Of Fate,42,2002
Over And Over,96,2004
Yo-Yo,51,1971
Hey There Lonely Girl,44,1970
She's All I Ever Had,52,1999
The Green Door,44,2018
Slippin' Into Darkness,23,1976
Right Here - Human Nature Radio Mix,88,1997
Run-Around,14,1995
Roar,46,2014
You Were Meant For Me,87,1998
The Little White Cloud That Cried,18,1991
GDFR (feat. Sage the Gemini & Lookas),32,2015
Dream Weaver,37,1976
A Milli,43,2008
Purest of Pain (A Puro Dolor) - Martinee's Radio (Spanish),61,2000
Heartless,9,2009
Mouth,53,1996
Love Me Harder (Originally Performed by Ariana Grande and The Weeknd) [Karaoke Version],56,2015
Here I Am (Come and Take Me),63,1973
Call Me When You're Sober,77,2006
"Honey, I'm Good.",25,2015
Wonderwall - Remastered,56,1996
Wild Thoughts (feat. Rihanna & Bryson Tiller),18,2017
One Hell Of A Woman,10,1974
Sara,87,1988
Dirt Road Anthem,43,2011
Lonely Night (Angel Face),39,1976
Unchained Melody,21,1965
If I Die Young,92,2010
Norman,33,2011
Don’t Disturb This Groove (Redux),57,2013
Good Enough,49,1993
If You're Gone,6,2001
Here Without You,15,2004
Tired of Being Alone,12,1971
I'll Always Love You (In the Style of Taylor Dayne) [Karaoke Version],20,2013
Jealous - Instrumental,10,2019
Express Yourself,57,1970
Don’t Matter (In The Style Of Akon),11,2011
I Believe I Can Fly,6,1998
Want to Want Me,17,2015
Treat Her Right,95,2009
You're Still The One,3,2018
Rhythm of the Rain,3,1963
Say Say Say (feat. Paul McCartney & Michael Jackson),3,2023
Miss You Like Crazy,67,1989
My Angel Baby,53,2022
Bad Medicine,41,1988
Lights Down Low,66,2018
Dear Lady Twist,32,1998
Cast Your Fate to the Wind,26,1965
MMMBop,12,1997
Heard It in a Love Song,57,1977
Method of Modern Love,83,1985
Holidae In,87,2004
A Sky Full of Stars,51,2014
What It's Like,28,1999
Nobody Told Me - Remastered 2010,81,1984
Woman,79,2001
I Get Around (Mono),5,1964
"Woman, Woman",79,1968
Draggin' the Line,54,1989
One Call Away,43,2016
(God Must Have Spent) A Little More Time On You - Remix,100,1999
Canadian Sunset - Single Version,17,1958
My Love (feat. T.I.),61,2006
Da' Dip,34,1997
Down 4 U,44,2002
Honky Tonk Women,4,2019
Come on over Baby (All I Want Is You) - Radio Version,38,2000
Get It On Tonite,24,2015
Strut,46,1985
Dirty Water,43,1966
Don't Take It Personal (Just One of Dem Days),9,1995
Get Right,82,2005
Close To You,17,1990
Better Now,32,2019
Hold On,8,1990
Freaky Friday (feat. Chris Brown),55,2018
"Managua, Nicaragua",11,1948
In The House Of Stone And Light,35,1995
Cowboy Take Me Away - In the Style of Dixie Chicks (Karaoke Version Teaching Vocal),95,2010
It's Gonna Be Me,33,2002
Careless Whisper,1,1998
The Third Man Theme ( Studio Version),3,2018
My Immortal,19,2004
(They Long To Be) Close To You,2,1974
Raindrops Keep Fallin' on My Head - Rerecorded,4,2009
Think,94,1968
Hypnotize - 2014 Remaster,25,1997
Axel F,61,1988
Sweet Inspiration,84,1968
Creep,3,1995
Take on Me,10,1985
Here We Go,36,2021
Back To Life,42,1990
Wildwood Weed,93,1974
Better Together,57,2021
2 Become 1,35,1997
Heat Waves,1,2022
Kissing a Fool - Remastered,91,1988
Private Eyes,44,1982
Blue Monday,50,1959
Save Tonight,22,1999
It's A Mistake,76,1983
Write This Down,98,1999
American Woman,3,1970
Really Want to Know You - Remastered Version,96,1981
Step In the Name of Love - Remix,78,2004
War,5,1970
Twisted,10,1996
Little Town Flirt,88,1963
Sloop John B,53,1966
Family Man,67,1983
Carry on Wayward Son,58,1977
You Keep Me Hangin On,34,1987
Red Light Special,28,1995
A Song For Mama,30,1998
I Don't Want This Night To End,93,2012
A Little Bit More - Single Version,46,1992
Music,17,2000
Crystal Blue Persuasion,12,1989
Devoted to You,13,1964
Love's Grown Deep,85,1977
I'm Real (feat. Ja Rule) - Murder Remix,5,2001
This Is Your Night,82,1996
The Closer I Get to You (Originally Performed by Roberta Flack and Donny Hathaway) [Karaoke Version],38,2013
Here,94,2015
Hell Of A View,91,2021
Separated,63,2000
Black Pearl,66,1969
Where Are Ü Now (with Justin Bieber),19,2015
Count Me In,61,1965
Angel,18,1999
Shining Star,7,1975
Gimme Little Sign,28,1967
Boogie Down,30,2000
Too Young,1,1991
Sugar Hill,84,1995
Now Or Never,59,2017
Mirage - Single Version,96,1967
Give Me One Reason,6,1996
Honeycomb,27,1957
You've Really Got A Hold On Me - Live At The Apollo Theater/1963,56,1963
Wolverton Mountain,16,1962
Sorry Not Sorry,64,2018
Games People Play,66,1981
Rock Steady,73,1987
bad guy,46,2020
I Believe,10,1955
Thought I'd Died And Gone To Heaven,74,1992
Famous Friends,69,2021
West End Girls - 2018 Remaster,15,1986
Dream On,51,1976
Image of a Girl,62,2010
Lonely Days,82,1971
Butterfly,29,2001
Magnolia,79,2017
Can't Let You Go (feat. Mike Shorey & Lil' Mo),24,2003
Three Little Pigs,93,1993
The Good Ones,62,2021
Five More Minutes,23,2018
(I Can't Get No) Satisfaction - Mono Version,3,1965
Pure Water,55,2022
Keep on Loving You,10,1981
Wait for You,41,2007
Because,24,1975
Wasted on the Way - 2005 Remaster,57,1982
"You Don't Have to Be a Star (To Be in My Show) [Originally Performed by Marilyn McCoo & Billy Davis, Jr] {Karaoke Version}",27,2016
Justify My Love,21,2009
The Git Up,56,2019
I Wonder Who's Kissing Her Now,13,1973
Ruby Tuesday,24,1967
Wooden Heart,10,2009
Dip It Low,23,2004
I Am a Rock,42,1966
You Make Me Feel Brand New,14,1974
Have You Heard,30,1953
Turn Me On,27,2004
I Will Remember You,96,1992
Burning Love,48,1973
The Time of My Life,69,2008
Money (That's What I Want) - Single Version / Mono,97,2004
I Can See Clearly Now - Edit,58,2003
"No Shoes, No Shirt, No Problems",91,2003
The Best Things in Life Are Free (In the Style of Luther Vandross and Janet Jackson) [Mo'money] [Karaoke Version],41,2013
Down in the Boondocks,52,1965
Treat Me Right,83,1981
Doesn't Really Matter,18,2019
I'm Still in Love with You (Originally Performed by New Edition) [Karaoke Version],44,2013
When Can I See You,26,1994
The Girl From Ipanema - Matchbox Youth & Pueblo Vista Remix,51,2021
I Like It,56,1989
Miss Independent,59,2009
California Nights,61,1967
Mi Gente,99,2018
"Will You Be There (Theme from ""Free Willy"")",47,1993
Time Is Time,100,2018
I Like It,97,2010
Devil’s Gonna Come,100,2019
Footloose,4,1997
Until,26,1993
In the End,7,2002
Bam Bam (feat. Ed Sheeran),66,2022
A View to a Kill,35,1989
"Exhale (Shoop Shoop) - from ""Waiting to Exhale"" - Original Soundtrack",14,1996
No Type,70,2015
Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix,55,2003
Leader of the Band,35,1995
I Get Weak,57,1988
Without You,96,1990
Dynamite,44,2011
Naturally,77,2010
"Managua, Nicaragua",31,1996
Eyes Without A Face,37,1984
Don’t Expect Me to be Your Friend - Rerecorded,87,2021
Temptation Eyes,29,1971
Let's Ride,27,2015
Power Trip (feat. Miguel),48,2013
Close To Me (with Diplo) (feat. Swae Lee),58,2019
Swing My Way,52,1998
Dueling Banjos,61,1973
Last Night,52,1996
Bed Of Roses,57,1993
A Moment Like This,39,2003
Love on a Two Way Street,25,1996
I'm a Thug,89,2020
If I Were A Carpenter - Live From The Desert Inn / 1971,66,2017
Everything About You,72,1992
Pink Houses,86,1984
Delicate,24,2018
Wockesha,42,2021
Free Your Mind,93,1992
Glamorous,19,2007
Let Me Hold You (feat. Omarion),29,2005
Victory,91,1987
(What A) Wonderful World,80,2023
Love Is Alive,9,1976
Panini,40,2019
Rolling in the Deep,71,2012
Don't Let The Rain Come Down (Crooked Little Man),32,1998
Deck Of Cards,71,2011
(God Must Have Spent) A Little More Time On You - Remix,45,1999
Let It Go,100,1997
Sunshine Superman,22,1966
"So Fresh, So Clean",94,2001
Cantaloop (Flip Fantasia),41,1994
Get Back (Karaoke in the style of The Beatles With Billy Preston),25,2009
Surface Pressure,53,2022
Time Today,76,2021
"Take My Breath Away - Love Theme from ""Top Gun""",27,1999
Hanging By A Moment,1,2001
All For You,3,2001
Anna,20,2006
Happy People - Album Version with DJ Skit,94,2004
Eight Days A Week - Remastered 2009,55,1965
Valotte,78,1985
Boogie On Reggae Woman,26,1999
New Flame (feat. Usher & Rick Ross),77,2014
Right Place Wrong Time,24,1973
Let Her Cry,26,1995
A Thousand Years,87,2012
That's All You Gotta Do,71,1960
I Turn to You,42,2000
Sum 2 Prove,79,2020
Adia,20,1998
A Hard Day's Night - Remastered 2009,13,1964
So What,45,2020
Keep the Fire Burnin',50,1982
We Got The Beat,25,1982
Riders on the Storm,99,1971
Bang Bang (My Baby Shot Me Down),52,1966
Even Though I'm Leaving,85,2020
"Sugar, We're Goin Down",68,2006
You Mean the World to Me,17,1994
Animals,62,2014
Body,54,2021
About Damn Time,12,2022
Silly Love Songs - 2014 Remaster,1,1976
You Are,29,1983
California Girls - Remix/Remastered 2001,49,1965
It's My Party,23,1963
The Monster,16,2014
Expressway (To Your Heart) - Single Version - 2019 Remaster,18,1967
Whatever It Takes,37,2018
Snowbird,42,1998
They Don't Know,39,1998
"Baby, Baby Don't Cry - Stereo",37,1969
What's Your Name,50,1962
Sixteen Tons,22,1956
Someday (You'll Want Me to Want You),12,2010
Hold My Hand,23,1959
When I Die,71,1969
Little Children,18,2018
(Put Another Nickel In) Music! Music! Music!,46,1995
Only Time,59,2001
U Already Know,97,2005
Angel Baby,76,1993
Love Sneakin' Up On You,94,1994
I Don't Wanna Know,7,2004
Rain,67,1993
Touch My Body,22,2008
Rhythm Is A Dancer,25,1993
Someone Like You,43,2012
I'm Like A Bird,43,2021
Stoned Soul Picnic - Remastered 2000,17,1968
U Don't Have to Call,16,2002
Don't You Worry Child - Radio Edit,26,2013
Urgent,37,1981
Could It Be I'm Falling in Love,47,1973
"Hold Me, Thrill Me, Kiss Me, Kill Me - From 'Batman Forever'",81,2002
One Dance (TikTok Edit) - Remix,3,2022
"i hate u, i love u (feat. olivia o'brien)",38,2016
Beautiful In My Eyes,79,1994
Love Remains The Same,94,2012
They Don't Know,71,1984
Hard To Love,95,2012
Fall for You,58,2008
Drift Away,19,2003
Bette Davis Eyes,1,1981
Thieves in the Temple,98,1990
The Old Lamplighter,15,1986
Peg o' My Heart,28,2023
Hey! Baby - Remastered,11,2017
Take A Chance On Me,32,1978
If I Ever Lose My Faith In You,96,1993
Locked Up,44,2006
Please Stay - Single Version,100,1962
December,41,1995
Go Crazy,19,2021
Summer Of '69,74,1985
Part-Time Lover,22,1985
Livin' On The Edge,94,1994
You'll Never Find Another Love Like Mine (Originally Performed by Lou Rawls) [Karaoke Version],32,2016
Fading Like A Flower (Every Time You Leave),44,1991
One More Try,5,1991
Fighter,79,2003
We Can't Go Wrong,87,1990
Nobody (feat. Athena Cage),73,1996
How to Save a Life,24,2007
You Can't Sit Down,25,1963
No-No Song,87,1975
Hurting Each Other.,65,2012
Hot Line - Single Version,25,1977
Plug Walk,57,2018
My World Is Empty Without You,72,1966
Too Much Heaven,11,1979
Temperature,2,2006
Man! I Feel Like A Woman!,77,1999
The Look,17,1989
Ooo Baby Baby,93,1965
The Fighter,100,2017
Heaven,53,2018
Sail Along Silv'ry Moon,6,1958
Soul Survivor,88,2006
"Hello, I Love You",14,1968
Human Nature,89,1983
I Miss You,96,2003
This D.J.,59,1994
Before You Walk Out of My Life,38,1996
Close Friends (Lil Baby & Gunna),74,2019
Pink Cadillac,75,1991
Leader Of The Pack,69,1996
I Only Wanna Be With You,87,1989
Your Wildest Dreams,91,1986
Pump It (As Made Famous By Black Eyed Peas Instrumental Cover),89,2012
Rock And Roll Dreams Come Through,71,1994
Those Were The Days - Remastered,30,1969
Somebody To Love - Remastered 2011,88,1977
Am I Wrong,14,2014
"What Is Love - 7"" Mix",82,1993
No Son of Mine - 2007 Remaster,68,1992
Honey,32,1997
"Money, Power & Respect (feat. DMX & Lil' Kim)",78,1998
Who Knew - Karaoke Version In the Style of Pink,69,2010
"It Ain't Me - Tribute Kygo, Selena Gomez",27,2017
Grazing In the Grass,17,1969
Beautiful,54,2009
Soul Serenade,65,2009
Back That Azz Up,75,1999
Let Me Be There,26,1974
Chasing Cars,29,2006
The Living Years,31,1989
What'chu Like (feat. Tyrese),85,2000
Kiss from a Rose,4,1995
Before You Go,21,2020
I Do!!,100,2002
Sleeping Bag,80,1986
Empire State Of Mind,62,2009
Over My Head (Cable Car),13,2006
Invisible Man,45,1998
Steal My Sunshine,78,1999
Personality,7,1957
Tonight I Celebrate My Love (Originally Performed by Peabo Bryson and Roberta Flack) [Karaoke Version],96,2013
Le Freak - 2018 Remaster,3,1979
Let Me Be The One,77,1987
Heartaches By The Number,93,1995
I Believe In You (You Believe In Me),58,1973
Kiss Me,6,1999
Mi Gente,50,2018
Turn Me On (feat. Nicki Minaj),35,2012
One Thing Right - Duke & Jones Remix,89,2019
Fly Away,29,1999
Still,23,1985
Damn Strait,93,2022
"My Heart Will Go On - Love Theme from ""Titanic""",13,1998
Let Me Love You,46,2017
"Gone, Gone, Gone",61,2013
You Really Got Me,79,1964
Sweet Dreams (Are Made of This) - Remastered,10,1983
The One I Gave My Heart To,78,1997
Swervin (feat. 6ix9ine),82,2019
"Welcome Back (Theme from Welcome Back, Kotter)",58,1976
Scarborough Fair / Canticle,89,1968
Don't Phunk With My Heart (In The Style Of Black Eyed Peas),13,2007
Let's Get It On,4,1973
Make It Real,51,1988
Who Do U Love,80,1996
Can't You See That She's Mine (Originally Performed By the Dave Clark Five) - Karaoke Version,68,2015
Just Don't Want to Be Lonely,36,2015
Dangerous,29,2008
21 Questions,14,2003
I Wanna Love You,8,2007
Dim All The Lights,74,1980
"Whenever I Call You ""Friend"" (feat. Stevie Nicks)",83,1978
Jealous,38,2015
"Seventh Son - Live At Whisky A Go-Go, Los Angeles, CA / 1965",45,1965
The Unicorn,76,1973
The Hanging Tree,78,2015
Never Forget You (Karaoke Version)[In The Style Of Zara Larsson & Mnek],46,2016
Big Love - 2018 Remaster,81,2023
love nwantiti (ah ah ah),55,2022
Don’t Stop The Music (In The Style Of Rihanna),17,2008
Breakout,66,1987
(She's) Sexy + 17 - Single Edit/24 Bit Remastered 99/Digital Remaster/1999,84,1999
Half As Much (with Percy Faith & His Orchestra),6,1952
I Get the Bag (feat. Migos),93,2017
The Anniversary Song,7,2023
Heartaches By The Number,88,1995
Uptight (Everything's Alright),51,1966
Rockin' That Thang - Album Version (Edited),80,2009
Let the Music Play,49,2006
Be Like That - feat. Swae Lee & Khalid,88,2020
(You Gotta) Fight For Your Right (To Party!),98,2020
She Knows,97,2015
Take The Money And Run,98,1976
Forgot About Dre,73,2000
Say You're Mine Again (with The Ramblers),21,2010
"Mrs. Brown, You've Got A Lovely Daughter",19,1966
"Gonna Fly Now - Theme From ""Rocky"" / Remastered 2006",21,2010
Leavin',28,2008
Ho Hey,68,2012
Smoke on the Water,50,1973
Rock Island Line,50,1985
Brown Sugar - 2009 Remaster,16,1971
Reflections of My Life,43,1970
Hold On,1,1990
Rehab,74,2007
The Best Of Times,30,1981
Let Her Go,19,2014
Ignition - Remix,2,2003
Boom Clap,34,2014
"Ruby, Don't Take Your Love To Town",78,2003
Rhythm Nation,38,1990
Streets of Philadelphia - Single Edit,54,1995
The Stroke - Remastered 2010,76,1981
Broken Wings,5,1986
I Don't Ever Want to See You Again,26,1998
"Rose, Rose, I Love You",23,1955
Blame It On The Bossa Nova,24,2014
Windy - Remastered Version,4,1967
Check On It (feat. Bun B & Slim Thug),10,2006
The Witch Queen of New Orleans,81,1972
Mother and Child Reunion,57,1972
When You're In Love With A Beautiful Woman,13,1979
Bottoms Up (feat. Nicki Minaj),52,2010
Now Is the Hour,17,2016
"Tie Me Kangaroo Down, Sport",73,2013
Baby Don't Get Hooked on Me,8,1972
Philadelphia Freedom,3,1975
Just the Two of Us (In the Style of Grover Washington and Jr. Bill Withers) [Karaoke Version],18,2013
Secrets,76,2010
And I Love You So,25,1987
Touch Me Tease Me,63,1996
Yeah! (feat. Lil Jon & Ludacris),1,2004
You're the One (Originally Performed by SWV) [Karaoke Version],36,2016
Always and Forever,75,1978
Theme From Shaft - Remastered,89,1971
Halfcrazy,48,2002
SAD!,17,2018
No Scrubs,2,1999
Endless Love (Originally Performed by Diana Ross and Lionel Richie) [Karaoke Version],2,2013
Never Say Never,100,2009
Break It Down Again,91,1993
Peaches & Cream,20,2001
Come On Eileen,13,1983
Good For Me,52,1992
She's A Lady,25,1971
"I Know You See It (feat. Brandy ""Ms. B"" Hambrick)",70,2006
Turn to Stone,94,1978
I Love College,73,2009
White Rabbit,81,1967
I Wanna Be Loved - 1950 Single Version,17,1996
Everybody Loves Me But You,73,2006
Ho Hey,12,2013
Gigolo (feat. R.Kelly),80,2004
Good Thing,40,1989
Control,37,1987
I Just Wanna Love U (Give It 2 Me),56,2001
"Turn Down for What (feat. Juicy J, 2 Chainz & French Montana) - Official Remix",15,2014
"U.O.E.N.O. (feat. Rick Ross, Future)",87,2013
Move This (Shake That Body),38,2010
Get Down,67,1973
(I've Had) The Time Of My Life,27,1990
Y.M.C.A.,8,1979
E.T.,4,2011
Karaoke - Old Man & Me (When I Get To Heaven),74,2005
Rikki Don't Lose That Number,51,1974
